phrase,sentances,,,,,,,,,,,,,,,,,,,
speech community,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings.",,,,,,,,,,,,,,,,,,,
meeting recordings,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings.",,,,,,,,,,,,,,,,,,,
broadcast news,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings.",,,,,,,,,,,,,,,,,,,
telephone speech,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings.",,,,,,,,,,,,,,,,,,,
corresponding frames,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model.",,,,,,,,,,,,,,,,,,,
popular methods,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model.",,,,,,,,,,,,,,,,,,,
speaker diarisation one,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model.",,,,,,,,,,,,,,,,,,,
plane sweep algorithm,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space.",,,,,,,,,,,,,,,,,,,
conceptual sweep line,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space.",,,,,,,,,,,,,,,,,,,
solve various problems,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space.",,,,,,,,,,,,,,,,,,,
processing points,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently.",,,,,,,,,,,,,,,,,,,
completely sorting,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently.",,,,,,,,,,,,,,,,,,,
relaxed ordering,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently.",,,,,,,,,,,,,,,,,,,
topological sweeping,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently.",,,,,,,,,,,,,,,,,,,
spatial verification,"The spatial verification can not be used as post-processing. !! To specify scenes or objects, is commonly used affine transformations to perform the spatial verification. !! Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images.",,,,,,,,,,,,,,,,,,,
automated way,An ASIC based IPS may detect and block denial-of-service attacks because they have the processing power and the granularity to analyze the attacks and act like a circuit breaker in an automated way. !! Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images.,,,,,,,,,,,,,,,,,,,
similar locations,Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images.,,,,,,,,,,,,,,,,,,,
commonly used affine transformations,"To specify scenes or objects, is commonly used affine transformations to perform the spatial verification.",,,,,,,,,,,,,,,,,,,
